MAE,RMSE,MAPE,file
1032.4850089709266,1171.1611272827934,43.67296854351282,linlags_Close Price.parquet
3001.5835679419797,3221.142050089086,99.28503855867345,lstm_Close Price.parquet
863.0914266365688,1036.1024336668963,36.50062477555395,ma5_Close Price.parquet
1052.3020316027087,1192.022335821951,48.361972361979525,naive_Close Price.parquet
509890570.0107323,583199517.2509481,100.00000000059279,var_forecast_diffz_Trading Volume
16181.175171038236,18323.799528945226,99.99999915491688,var_forecast_diffz_Government Debt (Billion USD)
7363.937162378023,8543.534559523656,100.00000127357683,var_forecast_diffz_Consumer Spending (Billion USD)
5252.723159926441,5998.63878686352,100.00000687606847,var_forecast_diffz_Retail Sales (Billion USD)
336806197.0411092,413426989.90785927,437.3417161404337,var_forecast_levels_Trading Volume
26132.04928764906,27517.43968956674,218.69288720284996,var_forecast_levels_Government Debt (Billion USD)
4022.041737842384,4774.276707670382,148.6893756173729,var_forecast_levels_Consumer Spending (Billion USD)
2835.575389770747,3471.382627251965,212.74297362100958,var_forecast_levels_Retail Sales (Billion USD)
